Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
187 I,Transitar em local/horário não permitido pela regulamentação - caminhão,2902,2009994,95.45354817569203
208,Avançar o sinal de parada obrigatória,2756,2012750,95.58442915283536
187 I,Transitar em local/horário não permitido pela regul estabelecida pela autoridade,2691,2015441,95.71222331448001
181 XIX,Estacionar o veículo em locais e horários de estacionamento e parada proibida pela sinalização,2677,2018118,95.83935262355573
182-V,Parar na pista de rolamento das rodovias,2636,2020754,95.96453486439383
206 III,Executar operação de retorno passando por cima de canteiro de divisor de pista,2627,2023381,96.08928970000903
209-A,Evadir-se da cobrança pelo uso de rodovias e viasurbanas para nao efetuar seu pagamento,2456,2025837,96.20592383638929
189,Deixar de dar passagem a veíc de polícia em serviço de urgência devid identif,2375,2028212,96.31871132576352
199,"Ultrapassar pela direita, salvo qdo veíc da frente der sinal p/ entrar esquerda",2282,2030494,96.4270822945012
206 I,Executar operação de retorno em locais proibidos pela sinalização,2240,2032734,96.53345870553206
198,Deixar de dar passagem pela esquerda quando solicitado,2173,2034907,96.63665332212582
231 IV,Transitar c/ veíc e/ou carga c/ dimensões superiores limite legal s/ autorização,1973,2036880,96.73035004487754
162 VII,Dirigir veículo sem possuir cursos especializados obrigatórios,1920,2038800,96.82152982576113
244 XI,Conduzir motoc/ moton/ ciclom transp pass c/ cap seg c/ viseira/óculos prot em des c/ regul Contran,1880,2040680,96.91081002787631
244 X,Conduzir motoc/ moton/ ciclom c/ utilização de capacete de segurança s/ viseira/óculos de proteção,1798,2042478,96.99619609351626
230 XI,Conduzir o veículo com silenciador de motor defeituoso/deficiente/inoperante,1747,2044225,97.07916019622648
252 VI,Dirigir veículo utilizando-se de telefone celular,1746,2045971,97.16207680946751
232,Conduzir veículo sem os documentos de porte obrigatório referidos no CTB,1722,2049415,97.32563054142744
208,"Avançar o sinal vermelho do semáforo, exc onde houver sinaliz que perm livre conv à direita",1722,2049415,97.32563054142744
230 XXI,Conduzir o veíc de carga c/ falta inscrição da tara e demais previstas no CTB,1684,2051099,97.40560280757742
197,Deixar de deslocar c/antecedência veíc p/ faixa mais à direita qdo for manobrar,1676,2052775,97.48519515797372
