Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
253-A,"Usar qq veiculo para, delib, interromper circulação na via sem aut do orgão",742,4103044,99.21463379601563
252 VI,Dirigir o veículo utilizando-se de fones nos ouvidos conec a aparelhagem sonora,721,4103765,99.23206810843513
238,Recusar-se a entregar CNH/CRV/CRLV/ outros documentos,715,4104480,99.24935733642396
206 V,Executar retorno c/prejuízo da circulação/segurança ainda que em local permitido,686,4105166,99.26594532299784
223,Transitar com farol desregulado perturbando visão outro condutor,678,4105844,99.28233986366416
244 VIII,"Conduzir motocicleta, motoneta e ciclomotor transportando carga incompatível",665,4106509,99.29842005473068
170,Dirigir ameaçando os demais veículos,664,4107173,99.31447606505877
211,Ultrapassar veíc motorizados em fila parados em razão de bloqueio viário parcial,658,4107831,99.33038699095617
231 VIII,Transitar efetuando transporte remunerado de bens qdo nao licenciado p/ esse fim,655,4108486,99.34622537463824
203 I,Ultrapassar pela contramão nas curvas sem visibilidade suficiente,627,4109113,99.36138669764381
223,Transitar com o facho de luz alta perturbando visão outro condutor,562,4109675,99.3749762726504
211,"Ultrapassar veículos motorizados em fila, parados em razão de sinal luminoso",542,4110217,99.38808223288808
230 VIII,"Conduzir veículo s/ ter sido submetido à inspeção seg veicular, qdo obrigatória",541,4110758,99.40116401238731
228,Usar no veículo equip c/ som em volume/freqüência não autorizados pelo Contran,522,4111280,99.41378635785607
203 I,"Ultrapassar pela contramão nos aclives ou declives, sem visibilidade suficiente",509,4111789,99.42609435372502
215 I a,"Deixar de dar preferência em interseção ñ sinaliz, a veíc circulando por rodovia",484,4112273,99.43779783113284
193,"Transitar com o veículo em ciclovias, ciclofaixas",447,4112720,99.44860662121816
162 VI,Dirigir veículo s/ adaptações impostas na concessão/renovação licença conduzir,438,4113158,99.45919778465748
197,Deixar de deslocar c/antecedência veíc p/ faixa mais à esquerda qdo for manobrar,430,4113588,99.46959550218921
182-V,Parar na pista de rolamento das estradas,424,4114436,99.49010076839132
253,Bloquear a via com veículo.,424,4114436,99.49010076839132
193,"Transitar com o veículo em ajardinamentos, gramados, jardins públicos",422,4114858,99.50030504001549
216,Entrar/sair área lindeira sem precaução com a segurança de pedestres e veículos,421,4115279,99.51048513090122
174,Participar na via como condutor em eventos organizados sem permissão,419,4115698,99.52061686031006
230 XX,Conduzir o veículo sem portar a autorização para condução de escolares,412,4116110,99.53057932454976
166,Confiar/entregar veíc pess c/ estado físico/psíquico s/ condições dirigir segur,411,4116521,99.54051760805103
206 IV,"Executar retorno nas interseções, entrando na contramão da via transversal",394,4116915,99.5500448189987
181 XV,Estacionar na contramão de direção,393,4117308,99.55954784920795
252 II,Dirigir o veículo transport volume à sua esquerda ou entre os braços e pernas,365,4117673,99.5683738187407
163 c/c 162 III,Entregar veículo a pessoa com CNH de categoria diferente da do veículo,347,4118020,99.57676453498144
202 II,Ultrapassar em interseções,345,4118365,99.58510688974526
184 II,Transitar na faixa/pista da esquerda regul circulação exclusiva determ veículo,344,4118709,99.59342506377065
215 II,Deixar de dar preferência nas interseções com sinalização de Dê a Preferência,339,4119048,99.60162233410381
244 III,Conduzir motoc/moton/ciclomotor fazendo malabarismo/equilibrando-se em uma roda,333,4119381,99.6096745200063
176 V,"Deixar o cond envolvido em acid, de identificar-se policial e prestar inf p/o BO",320,4119701,99.61741235630899
164 c/c 162 II,Permitir posse/condução do veículo a pessoa com CNH/PPD/ACC cassada,319,4120020,99.62512601187322
230 XV,Conduzir c/ inscr/adesivo/legenda/símbolo pintado pára-brisa e extensão traseira,316,4120336,99.63276712522213
193,"Transitar com o veículo em ilhas, refúgios",294,4120630,99.63987626232522
230 I,Conduzir o veículo com a placa violada/falsificada,291,4120921,99.64691285721298
206 III,Executar operação de retorno passando por cima de faixa de pedestres,277,4121198,99.65361092176249
244 VIII,Conduzir motoc/moton/ transportando carga em desacordo c/ § 2º do Art 139-A CTB,269,4121736,99.66662015904639
162 III,Dirigir veículo com PPD de categoria diferente da do veículo,269,4121736,99.66662015904639
190,Seguir veículo em serv urgência devid identific p/ alarme sonoro/ilum vermelha,268,4122004,99.6731005969499
207,Executar operação de conversão à direita em local proibido pela sinalização,266,4122270,99.6795326733765
165,Dirigir sob a influência de qquer substância psicoativa que deter. dependência,265,4122535,99.68594056906466
175,Utiliz veíc dem/exibir manob perig med derrap/frenag c/desliz/arrast pneus,263,4122798,99.69230010327593
170,Dirigir ameaçando os pedestres que estejam atravessando a via pública,258,4123056,99.69853873379498
220 VI,Deixar de reduzir a velocidade nos trechos em curva de pequeno raio,250,4123306,99.70458391840646
196,"Deixar de indicar c/ antec, med gesto de braço/luz indicadora, início da marcha",244,4123550,99.71048401858725
176 I,"Deixar o cond envolvido em acidente, de prestar ou providenciar socorro a vítima",237,4123787,99.71621485359893
164 c/c 162 III,Permitir posse/condução veíc a pessoa com PPD categoria diferente da do veículo,219,4124006,99.72151043531858
184 I,Transitar na faixa/pista da direita regul circulação exclusiva determ veículo,211,4124217,99.72661257113067
209,Deixar de adentrar às áreas destinadas à pesagem de veículos,207,4124424,99.73161798398897
196,"Deixar de indicar c/ antec, med gesto de braço/luz indicadora, manobra de parar",206,4124630,99.73659921610883
208,"Avançar o sinal vermelho do semáforo, exc houver sinaliz perm livre conv à direita ,fisc eletrônica",205,4124835,99.74155626749022
178,"Deixar o condutor envolvido em acidente s/ vítima, de remover o veículo do local",204,4125039,99.7464891381332
206 II,Executar operação de retorno nas curvas,199,4125238,99.75130110508393
244 IX,Conduzir motoc/moton/ efetuando transp remun mercadoria desac c/ art 139-A CTB,198,4125436,99.75608889129622
182 VI,Parar nas marcas de canalização,197,4125633,99.76085249677006
181 XI,Estacionar ao lado de outro veículo em fila dupla,194,4125827,99.76554356002856
251 I,"Utilizar o pisca-alerta, exceto em imobilizações ou situações de emergência",188,4126015,99.77008953885638
181 V,Estacionar na pista de rolamento das vias dotadas de acostamento,187,4126202,99.77461133694577
172,Abandonar na via objetos ou substâncias,186,4126388,99.77910895429672
163 c/c 162 II,Entregar veículo a pessoa com CNH/PPD/ACC c/ susp. do direito de dirigir,185,4126573,99.7835823909092
244 V,Conduzir motoc/moton/ciclom transp criança s/ condição cuidar própria segurança,183,4126756,99.7880074660448
252 II,Dirigir o veículo transport animais à sua esquerda ou entre os braços e pernas,180,4126936,99.79235999896507
231 X,Transitar com o veículo excedendo a CMT em até 600 kg,179,4127294,99.8010167033287
181 X,Estacionar impedindo a movimentação de outro veículo,179,4127294,99.8010167033287
244 IX,Conduzir motoc/moton/ efet transp remun desac normas ativid profic mototaxistas,177,4127471,99.80529669403361
176 III,"Deixar o cond envolvido em acidente, de preservar local p/ trab policia/pericia",176,4127647,99.8095525040001
236,Rebocar outro veículo com cabo flexível ou corda,172,4127991,99.81787067802549
181 VIII,Estacionar nas ilhas ou refúgios,172,4127991,99.81787067802549
181 VIII,Estacionar sobre ciclovia ou ciclofaixa,170,4128161,99.8219814035613
189,Deixar de dar passagem a veíc socorro incêndio/salv serv urgência devid identif,167,4128328,99.82601958688176
251 II,"Utilizar luz alta e baixa intermitente, exceto quando permitido pelo CTB",165,4128493,99.83000940872533
220 XIV,Deixar de reduzir veloc onde haja intensa movimentação de pedestres,164,4128657,99.83397504983046
220 XII,"Deixar de reduzir a velocidade de forma compatível com a segurança, em declive",159,4128816,99.83781978724335
179 I,"Fazer ou deixar que se faça reparo em veíc, em rodovia e via de trânsito rápido",152,4128968,99.84149525948713
244 I,"Conduzir motocicleta, motoneta ou ciclomotor sem vestuário de acordo com normas apr pelo Contran",149,4129117,99.84509818951557
231 II b,Transitar com veíc derramando/lançando combustível/lubrif que esteja utilizando,139,4129256,99.84845931215955
181 IV,Estacionar em desacordo com as posições estabelecidas no CTB,138,4129394,99.85179625406508
163 c/c 162 VI,Entregar o veículo a pessoa sem usar lentes corretoras de visão,137,4129531,99.85510901523217
164 c/c 162 VII,Permitir posse e condução do veículo por pessoa sem possuir curso especializados obrigatorio,134,4129799,99.86158945313566
231 II a,Transitar com veículo lançando a carga que esteja transportando,134,4129799,99.86158945313566
188,"Transitar ao lado de outro veículo, interrompendo ou perturbando o trânsito",130,4129929,99.86473294913364
209-A,"Deixar de efetuar pagamento, pelo uso de rodovias e viasurbanas, na forma estabelecida",123,4130052,99.86770717996248
231 X,Transitar com o veículo excedendo a CMT entre 601 e 1.000 kg,122,4130174,99.87065723005288
182 VII,Parar na área de cruzamento de vias,120,4130294,99.87355891866639
189,Deixar de dar passagem a veíc de operação e fiscalização de trânsito devid ident,119,4130532,99.87931393441652
239,"Retirar do local veículo legalmente retido para regularização, sem permissão",119,4130532,99.87931393441652
220 III,Deixar de reduzir a velocidade do veículo ao aproximar-se da guia da calçada,115,4130647,99.8820947193378
201,"Deixar de guardar a distância lateral de 1,50m ao passar/ultrapassar bicicleta",112,4130871,99.88751120474969
"253-A, § 1º",Organizar a conduta prevista no caput do art. 253-A,112,4130871,99.88751120474969
231 IV,Transitar c/ veíc e/ou carga c/ dimensões superiores est p/sinalização s/autoriz,108,4130979,99.89012272450184
189,Deixar de dar passagem a veíc precedido de batedores devidamente identificados,106,4131085,99.8926858827771
206 III,"Executar operação de retorno passando por cima de calçada, passeio",104,4131293,99.89771547637385
220 VIII,Deixar de reduzir a velocidade sob chuva/neblina/cerração/ventos fortes,104,4131293,99.89771547637385
162 VII,Dirigir veículo sem possuir cursos específicos obrigatórios,103,4131499,99.90269670849369
220 I,Deixar de reduzir a veloc qdo se aproximar de passeata/aglomeração/desfile/etc,103,4131499,99.90269670849369
173,Disputar corrida,99,4131598,99.90509060159984
182 VI,Parar sobre faixa destinada a pedestres,98,4131696,99.90746031396755
203 IV,Ultrapassar pela contramão veículo parado em fila junto sinal luminoso,96,4131888,99.91210301574915
215 I a,"Deixar de dar preferência em interseção ñ sinaliz, veíc circulando por rotatória",96,4131888,99.91210301574915
220 III,Deixar de reduzir a velocidade do veículo ao aproximar-se do acostamento,92,4131980,99.91432764368618
224,Fazer uso do facho de luz alta dos faróis em vias providas de iluminação pública,90,4132070,99.91650391014632
206 III,"Executar operação de retorno passando por cima de ilha, refúgio",89,4132248,99.92080808158968
181 VIII,Estacionar sobre faixa destinada a pedestre,89,4132248,99.92080808158968
244 VI,"Conduzir motocicleta, motoneta e ciclomotor rebocando outro veículo",88,4132336,99.92293598657292
174,Promover na via exibição e demonstração de perícia em manobra de veículo s/perm,79,4132415,99.92484626491014
174,"Participar como condutor exib/demonst perícia em manobra de veic, s/ permissão",76,4132567,99.92852173715391
220 IV,Deixar de reduzir velocidade do veículo ao aproximar-se interseção ñ sinalizada,76,4132567,99.92852173715391
220 VII,Deixar de reduzir veloc ao aproximar local sinaliz advert de obras/trabalhadores,75,4132717,99.93214884792081
176 II,"Deixar o cond envolvido em acid, de adotar provid p/ evitar perigo p/o trânsito",75,4132717,99.93214884792081
164 c/c 162 VI,Permitir posse/cond veíc s/ adaptações impostas concessão/renovação licença cond,72,4132789,99.93388986108891
252 III,Dirigir o veículo com incapacidade física ou mental temporária,71,4132931,99.93732352594823
229,Usar no veíc alarme/aparelho produz som perturbe sossego púb desac norma Contran,71,4132931,99.93732352594823
182 VI,Parar nos canteiros centrais/divisores de pista de rolamento,68,4132999,99.93896781616255
181 IX,Estacionar em guia de calçada rebaixada destinada à entrada/saída de veículos,67,4133066,99.94058792563843
183,Parar sobre faixa de pedestres na mudança de sinal luminoso,66,4133198,99.94377978311329
163 c/c 162 II,Entregar veículo a pessoa com CNH/PPD/ACC cassada,66,4133198,99.94377978311329
250 I b,"Em movimento de dia, deixar de manter acesa luz baixa em túneis",64,4133326,99.94687491763436
206 III,Executar operação de retorno passando por cima de ajardinamento,64,4133326,99.94687491763436
182 IX,Parar na contramão de direção,63,4133389,99.94839830415646
206 II,Executar operação de retorno nos aclives ou declives,62,4133451,99.9498975099401
206 II,Executar operação de retorno nos viadutos,56,4133507,99.95125163129308
203 IV,Ultrapassar pela contramão veículo parado em fila junto a cruzamento,54,4133561,99.95255739116915
244 § 2º,Conduzir ciclomotor em rodovia salvo se houver acostamento ou faixa própria,50,4133711,99.95618450193604
181 I,Estacionar nas esquinas e a menos de 5m do alinhamento da via transversal,50,4133711,99.95618450193604
206 II,Executar operação de retorno nas pontes,50,4133711,99.95618450193604
235,Conduzir animais nas partes externas do veículo,49,4133760,99.95736935811989
182-V,Parar na pista de rolamento das demais vias dotadas acostamento,48,4133808,99.95853003356528
230 I,Conduzir o veículo com qualquer outro elem de identificação violado/falsificado,46,4133900,99.9607546615023
203 III,Ultrapassar pela contramão nos viadutos,46,4133900,99.9607546615023
181 XIV,Estacionar nas pontes,44,4133944,99.96181861399393
230 I,Conduzir o veículo com a inscrição do chassi violada/falsificada,43,4133987,99.9628583857471
220 XIV,Deixar de reduzir veloc na proxim estação embarque/desembarque passageiros,42,4134029,99.96387397676183
189,Deixar de dar passagem a ambulância em serviço de urgência devid identificada,41,4134070,99.9648653870381
248 § único c/c 210,Fugir o condutor à ação policial.,40,4134150,99.96679984611379
244 II,Conduzir motocicleta/motoneta/ciclomotor transportando pas. fora do assento,40,4134150,99.96679984611379
205,Ultrapassar veículo em movimento que integre cortejo/desfile/formação militar,39,4134189,99.96774289491317
181 XIV,Estacionar nos viadutos,38,4134227,99.96866176297411
181 III,Estacionar afastado da guia da calçada (meio-fio) a mais de 1m,35,4134262,99.96950808881972
220 V,Deixar reduzir velocidade nas vias rurais cuja faixa domínio não esteja cercada,33,4134361,99.97190198192587
231 III,"Transitar com veículo produzindo fumaça, gases ou partículas em desac c/ Contran",33,4134361,99.97190198192587
220 XIII,Deixar de reduzir veloc de forma compatível c/ segurança ao ultrapassar ciclista,33,4134361,99.97190198192587
181 V,Estacionar na pista de rolamento das vias de trânsito rápido,32,4134425,99.9734495491864
231 II a,Transitar com veículo arrastando a carga que esteja transportando,32,4134425,99.9734495491864
162 VI,Dirigir veículo sem usar aparelho auxiliar de audição,31,4134456,99.97419915207823
182 VI,Parar no passeio,29,4134543,99.97630287632302
