Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
218 I,Transitar em velocidade superior à máxima permitida em até 20%,1093345,1093345,26.437889476131556
203 V,"Ultrapassar pela contramão linha de divisão de fluxos opostos, contínua amarela",206200,1299545,31.423957743675953
230 * V,Conduzir o veículo registrado que não esteja devidamente licenciado,203586,1503131,36.346817560922766
218 II,Transitar em velocidade superior à máxima permitida em mais de 20% até 50%,182358,1685489,40.75636866244003
195,Desobedecer às ordens emanadas da autorid compet de trânsito ou de seus agentes,160258,1845747,44.63152544430293
230 X,Conduzir o veículo com equip obrigatório em desacordo com o estab pelo Contran,154134,1999881,48.35859938392314
162 I,Dirigir veículo sem possuir CNH/PPD/ACC,141848,2141729,51.788588770997045
230 XIII,Conduzir o veículo c/ equip do sistema de iluminação e de sinalização alterados,139664,2281393,55.16576742530509
230 XVIII,"Conduzir o veículo em mau estado de conservação, comprometendo a segurança",135730,2417123,58.447819054566985
167,Deixar o condutor de usar o cinto segurança,133905,2551028,61.6857408361651
167,Deixar o passageiro de usar o cinto segurança,94818,2645846,63.97851009412836
"230, XXIII",Conduzir veíc de transp passag ou carga em desacordo c/ as cond do art 67-C CTB,68070,2713916,65.62449296014071
230 XXII,"Conduzir o veíc c/ com defeito no sist de iluminação, sinaliz ou lâmpadas queimadas",63557,2777473,67.16134815354671
230 IX,Conduzir o veículo com equipamento obrigatório ineficiente ou inoperante,61117,2838590,68.63920234514474
162 V,Dirigir veículo com validade de CNH/PPD vencida há mais de 30 dias,57666,2896256,70.03360880836595
230 IX,Conduzir o veículo sem equipamento obrigatório,55979,2952235,71.38722236582893
230 XVI,"Conduzir veíc com vidro total/parcialmente coberto por película, painéis/pintura",55392,3007627,72.72664182982417
250 I e,"Em mov deix de man aces luz baixa de dia, em rod pis simp sit fora per urb, veíc desp luz rod diur",53958,3061585,74.03138611488801
230 VI,Conduzir o veículo com qualquer uma das placas sem legibilidade e visibilidade,51201,3112786,75.26946410405648
165-A,"Rec sub test,ex clin, peric ou proc q perm cert infl alc/sub. psic for art.277",48706,3161492,76.44721115080245
193,Transitar com o veículo em acostamentos,44286,3205778,77.51807933361754
252 IV,Dirigir o veíc usando calçado que ñ se firme nos pés/comprometa utiliz pedais,41127,3246905,78.51256056368203
165-B,"Cond veíc exig hab C, D ou E sem realizar ex toxic prev no § 2º do art 148-A, após 30 dias do venc",37889,3284794,79.42874456265871
164 c/c 162 I,Permitir posse/condução do veículo a pessoa sem CNH/PPD/ACC,37015,3321809,80.32379459623365
168,Transportar criança sem observância das normas de segurança estabelecidas p/ CTB,32638,3354447,81.11300553763091
244 I,"Conduzir motocicleta, motoneta ou ciclomotor sem capacete de segurança",25868,3380315,81.73851287974942
"252,§ unico",Dirigir veiculo manuseando telefone celular,24326,3404641,82.32673352318437
202 I,Ultrapassar pelo acostamento,24029,3428670,82.90777248730087
185 II,Deixar de conservar nas faixas da direita o veículo lento e de maior porte,21801,3450471,83.43493676615992
193,Transitar com o veículo em marcas de canalização,21287,3471758,83.94967214545778
244 X,Conduzir motoc/ moton/ ciclom c/ útil capacete de seg c/ viseira/óculos prot em des c/ regul Contran,21164,3492922,84.46143329392679
230 VII,Conduzir o veículo com característica alterada,20961,3513883,84.96828575249128
244 II,"Conduzir motocicleta, motoneta e ciclomotor transportando passageiro s/ capacete",19296,3533179,85.43487728154335
221,Portar no veículo placas de identificação em desacordo c/ especif/modelo Contran,19226,3552405,85.8997761589042
218 III,Transitar em velocidade superior à máxima permitida em mais de 50%,19168,3571573,86.3632725534352
187 I,Transitar em local/horário não permitido pela regulamentação - caminhão,17749,3589322,86.79245648011147
231 V,Transitar com o veículo com excesso de peso PBT/PBTC,17745,3607067,87.22154368383394
231 VII,Transitar com o veículo com lotação excedente,16760,3623827,87.62681286018721
230 IV,Conduzir o veículo sem qualquer uma das placas de identificação,16263,3640090,88.02006420953286
231 II c,Transitar c/veíc derraman/lançando/arrastando objeto possa acarretar risco acidente,15789,3655879,88.40185388885517
165,Dirigir sob a influência de álcool,15757,3671636,88.7828697845472
181 VII,Estacionar nos acostamentos,14856,3686492,89.14209883489947
231 VI,Transitar em desacordo c/ autorização expedida p/veículo c/ dimensões excedentes,14245,3700737,89.48655345406131
"252,§ unico",Dirigir veiculo segurando telefone celular,13768,3714505,89.81947386098446
230 XII,Conduzir o veículo com equipamento ou acessório proibido,13583,3728088,90.1479208312951
230 XIV,Conduzir veíc c/ registrador instan inalt de velocidade/tempo viciado/defeituoso,13168,3741256,90.46633279515069
235,Conduzir carga nas partes externas do veículo,12911,3754167,90.7785303092257
162 III,Dirigir veículo com CNH de categoria diferente da do veículo,12126,3766293,91.07174594362067
192,Deixar guardar dist segurança lat/front entre seu veíc e demais e ao bordo pista,12039,3778332,91.36285785377085
186 I,Transitar pela contramão de direção em via com duplo sentido de circulação,11509,3789841,91.64115397254471
169,Dirigir sem atenção ou sem os cuidados indispensáveis à segurança,10886,3800727,91.90438549126677
181 V,Estacionar na pista de rolamento das rodovias,10520,3811247,92.15876685971762
230 XI,Conduzir o veículo com descarga livre,10473,3821720,92.41201173346153
185 I,Deixar de conservar o veículo na faixa a ele destinada pela sinalização de regul,10403,3832123,92.66356395551422
204,"Deixar de parar no acostamento à direita, p/ cruzar pista ou entrar à esquerda",10243,3842366,92.91124725941555
207,Executar operação de conversão à esquerda em local proibido pela sinalização,9319,3851685,93.1365875609929
164 c/c 162 V,Permitir posse/condução do veíc a pessoa com CNH/PPD vencida há mais de 30 dias,9273,3860958,93.36081554860172
162 VI,Dirigir veículo sem usar lentes corretoras de visão,9269,3870227,93.58494681325675
196,"Deixar de indicar c/ antec, med gesto de braço/luz indicadora, mudança de faixa",8265,3878492,93.78480061651211
250 I b,"Em movimento de dia, deixar de manter acesa luz baixa sob chuva, neblina ou cerração",7601,3886093,93.96859840943938
237,Trans c/veíc desac c/especificação/falta de inscr/simbologia necessária identif,7566,3893659,94.15154987652106
186 II,Transitar pela contramão de direção em via c/ sinalização de regul sentido único,7537,3901196,94.33380010218781
220 II,Deixar de reduzir a veloc onde o trânsito esteja sendo controlado pelo agente,7082,3908278,94.50504809186165
162 II,Dirigir veículo com CNH/PPD/ACC com suspensão do direito de dirigir,6804,3915082,94.66957383624755
209-A,Evadir-se da cobrança pelo uso de rodovias e viasurbanas para nao efetuar seu pagamento,6636,3928354,94.99050059690153
191,Forçar passagem entre veícs trans sent opostos na iminência realiz ultrapassagem,6636,3928354,94.99050059690153
232,Conduzir veículo sem os documentos de porte obrigatório referidos no CTB,5853,3934207,95.13203045902537
206 III,Executar operação de retorno passando por cima de canteiro de divisor de pista,5726,3939933,95.2704893673666
208,Avançar o sinal de parada obrigatória,5298,3945231,95.39859891965297
206 I,Executar operação de retorno em locais proibidos pela sinalização,4919,3950150,95.51754397206834
181 XIX,Estacionar o veículo em locais e horários de estacionamento e parada proibida pela sinalização,4871,3955021,95.63532834903832
199,"Ultrapassar pela direita, salvo qdo veíc da frente der sinal p/ entrar esquerda",4720,3959741,95.74946143450296
189,Deixar de dar passagem a veíc de polícia em serviço de urgência devid identif,4704,3964445,95.86320762815247
244 X,Conduzir motoc/ moton/ ciclom c/ utilização de capacete de segurança s/ viseira/óculos de proteção,4516,3968961,95.97240784297415
252 VI,Dirigir veículo utilizando-se de telefone celular,4500,3973461,96.08122116598071
231 IV,Transitar c/ veíc e/ou carga c/ dimensões superiores limite legal s/ autorização,4430,3977891,96.18834183729604
230 II,Conduzir o veículo transportando passageiros em compartimento de carga,4306,3982197,96.29246409704407
182-V,Parar na pista de rolamento das rodovias,4272,3986469,96.39576421168495
208,"Avançar o sinal vermelho do semáforo, exc onde houver sinaliz que perm livre conv à direita",4131,3990600,96.49565484220496
163 c/c 162 I,Entregar veículo a pessoa sem CNH/PPD/ACC,4053,3994653,96.5936593751262
230 XXI,Conduzir o veíc de carga c/ falta inscrição da tara e demais previstas no CTB,3883,3998536,96.68755318251162
193,Transitar com o veículo em canteiros centrais/divisores de pista de rolamento,3822,4002358,96.77997196485184
181 VIII,Estacionar ao lado ou sobre canteiro central/divisores de pista de rolamento,3545,4005903,96.86569268264256
181 VIII,Estacionar no passeio,3496,4009399,96.95022854424941
244 XI,Conduzir motoc/ moton/ ciclom transp pass c/ cap seg c/ viseira/óculos prot em des c/ regul Contran,3222,4012621,97.0281388835221
181 XVIII,Estacionar em local/horário proibido especificamente pela sinalização,3197,4015818,97.10544470433365
230 XI,Conduzir o veículo com silenciador de motor defeituoso/deficiente/inoperante,3101,4018919,97.18042917425439
198,Deixar de dar passagem pela esquerda quando solicitado,3077,4021996,97.25483330645241
227 II,Usar buzina prolongada e sucessivamente a qualquer pretexto,3029,4025025,97.32807676320505
164 c/c 162 III,Permitir posse/condução veíc a pessoa com CNH categoria diferente da do veículo,3007,4028032,97.40078824371186
203 IV,Ultrapassar pela contramão veíc parado em fila junto qq impedimento à circulação,2998,4031030,97.47328209757266
187 I,Transitar em local/horário não permitido pela regul estabelecida pela autoridade,2611,4033641,97.53641800565491
230 I,Conduzir o veículo com o lacre de identificação violado/falsificado,2568,4036209,97.59851414198397
230 XV,Conduzir c/ inscr/adesivo/legenda/símbolo afixado pára-brisa e extensão traseira,2536,4038745,97.65983649468278
250 I d,"Em movimento de dia, deixar de manter acesa luz baixa de motocicletas/motonetas/ciclomotores",2369,4041114,97.71712066406111
252 V,"Dirigir o veículo com apenas uma das mãos, exceto quando permitido pelo CTB",2187,4043301,97.7700039390423
231 X,Transitar com o veículo excedendo a CMT acima de 1.000 kg,2175,4045476,97.82259704516211
196,"Deixar de indicar c/ antec, med gesto de braço/luz indicadora, mudança direção",2107,4047583,97.87354586106764
250 I a,"Em movimento, deixar de manter acesa a luz baixa durante à noite",2104,4049687,97.9244221347578
203 III,Ultrapassar pela contramão nas pontes,2025,4051712,97.97338813011075
244 V,Conduzir motocicleta/motoneta/ciclomotor transportando criança menor de 10 anos de idade,1971,4053683,98.02104836558762
231 II a,Transitar com veículo derramando a carga que esteja transportando,1952,4055635,98.06824916703401
197,Deixar de deslocar c/antecedência veíc p/ faixa mais à direita qdo for manobrar,1938,4057573,98.11511143814216
181 XIII,Estacionar no ponto de embarque/desembarque de passageiros transporte coletivo,1914,4059487,98.16139337152762
181 XVII,Estacionar em desacordo com a regulamentação especificada pela sinalização,1877,4061364,98.20678061759057
209,Transpor bloqueio viário com ou sem sinalização ou dispositivos auxiliares,1823,4063187,98.25086210377745
253-A,"Usar qq veiculo para, delib, pertubar circulação na via sem aut do orgão",1596,4064783,98.2894545623371
181 VIII,Estacionar ao lado ou sobre gramado ou jardim público,1543,4066326,98.32676544175912
231 VIII,Transitar efetuando transporte remunerado de pessoas qdo nao licenciado p/esse fim,1482,4067808,98.36260129613595
252 I,Dirigir o veículo com o braço do lado de fora,1473,4069281,98.39821952386674
210,Transpor bloqueio viário policial,1452,4070733,98.4333299560902
163 c/c 162 V,Entregar veículo a pessoa com CNH/PPD vencida há mais de 30 dias,1451,4072184,98.46841620757519
181 VIII,Estacionar ao lado ou sobre marcas de canalização,1445,4073629,98.50335737462952
244 XI,Conduzir motoc/ moton/ ciclom transp pass c/ capacete de segurança s/ viseira/óculos de proteção,1433,4075062,98.53800837282249
211,"Ultrapassar veículos motorizados em fila, parados em razão de qualquer obstáculo",1417,4076479,98.57227247920034
184 III,Transitar na faixa ou via exclusiva regulam. p/ transp. públ. coletivo passageiro,1403,4077882,98.60619805523993
231 VI,"Transitar com autorização vencida, expedida p/ veículo c/ dimensões excedentes",1332,4079214,98.63840679884987
180,Ter seu veículo imobilizado na via por falta de combustível,1267,4080481,98.66904379446082
164 c/c 162 VI,Permitir posse/condução do veículo a pessoa sem usar lentes corretoras de visão,1212,4081693,98.69835084945726
248,Transportar em veíc destinado transp passageiros carga excedente desac art.109,1195,4082888,98.7272468319001
244 VII,Conduzir motocicleta/motoneta/ciclomotor sem segurar o guidom com ambas as mãos,1192,4084080,98.75607027212762
193,"Transitar com o veículo em calçadas, passeios",1185,4085265,98.784724447186
164 c/c 162 II,Permitir posse/condução veíc pessoa com CNH/PPD/ACC c/ susp. direito de dirigir,1181,4086446,98.8132818992906
235,Conduzir pessoas nas partes externas do veículo,1091,4087537,98.83966308493508
162 II,Dirigir veículo com CNH/PPD/ACC cassada,1088,4088625,98.86597172836422
175,Utiliz veíc demonst/exibir manobra perigosa mediante arrancada brusca,1084,4089709,98.89218364883958
181 V,Estacionar na pista de rolamento das estradas,1045,4090754,98.91745252051555
172,Atirar do veículo objetos ou substâncias,949,4091703,98.9404000413007
162 VII,Dirigir veículo sem possuir cursos especializados obrigatórios,911,4092614,98.96242869402492
230 * V,Conduzir o veículo que não esteja registrado,890,4093504,98.98394955124176
182 X,Parar em local/horário proibidos especificamente pela sinalização,887,4094391,99.00539786624329
225 I,Deixar de sinalizar a via p/ tornar visível o local qdo permanecer acostamento,882,4095273,99.02672527755256
230 III,Conduzir o veículo com dispositivo anti-radar,843,4096116,99.04710964006246
214 I,Deixar de dar preferência a pedestre/veic ñ motorizado na faixa a ele destinada,812,4096928,99.06674439968053
193,Transitar com o veículo em passarelas,804,4097732,99.08618571339103
253-A,"Usar qq veiculo para, delib, restringir circulação na via sem aut do orgão",774,4099280,99.12361749650528
230 VII,Conduzir o veículo com a cor alterada,774,4099280,99.12361749650528
194,"Transitar em marcha ré, salvo na distância necessária a pequenas manobras",767,4100047,99.14216412289328
227 I,Usar buzina que não a de toque breve como advertência a pedestre ou condutores,763,4100810,99.16061402632751
250 III,"Em movimento, deixar de manter a placa traseira iluminada à noite",749,4101559,99.17872539942348
225 I,Deixar de sinalizar via p/ tornar visível local qdo tiver remover veíc da pista,743,4102302,99.19669168808879
