Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
218 I,Transitar em velocidade superior à máxima permitida em até 20%,1093345,1093345,26.437889476131556
203 V,"Ultrapassar pela contramão linha de divisão de fluxos opostos, contínua amarela",206200,1299545,31.423957743675953
230 * V,Conduzir o veículo registrado que não esteja devidamente licenciado,203586,1503131,36.346817560922766
218 II,Transitar em velocidade superior à máxima permitida em mais de 20% até 50%,182358,1685489,40.75636866244003
195,Desobedecer às ordens emanadas da autorid compet de trânsito ou de seus agentes,160258,1845747,44.63152544430293
