Time,Violations_Count,Violations_Count(%),Acum
10,459519,0.1111150874992111,0.1111150874992111
16,415828,0.10055028106481333,0.21166536856402443
11,370067,0.08948493334458543,0.30115030190860986
15,359210,0.08685963057151418,0.38800993248012405
17,354439,0.08570596754026033,0.4737159000203844
9,353080,0.08537735130478055,0.559093251325165
14,230077,0.055634317594171284,0.6147275689193362
8,212739,0.0514418611624213,0.6661694300817576
18,202165,0.04888498987915192,0.7150544199609095
12,160726,0.03886473367455579,0.7539191536354652
13,149184,0.03607379284313012,0.7899929464785954
19,122519,0.029625998936531124,0.8196189454151266
7,118080,0.028552615956917663,0.8481715613720443
21,111200,0.026888981151839804,0.8750605425238841
20,102689,0.02483095850270933,0.8998915010265934
22,101638,0.02457681894164293,0.9244683199682364
23,69673,0.016847445897411283,0.9413157658656477
6,62822,0.015190823506482735,0.9565065893721304
0,47390,0.011459251949511586,0.967965841321642
5,38206,0.009238492930640212,0.9772043342522821
1,27822,0.006727565050418049,0.9839318993027002
4,26637,0.006441023299834144,0.9903729226025343
2,20193,0.004882816514380406,0.9952557391169147
3,19620,0.004744260883085404,1.0
