City,Violations_Count,Violations_Count(%),Acum
RIO NEGRINHO,8010,0.19368771495165182,0.5430091913404906
SALGUEIRO,7997,0.19337336535185512,0.5449429249940092
JUIZ DE FORA,7977,0.19288975058293717,0.5468718224998386
PALHOCA,7942,0.1920434247373307,0.5487922567472119
SINOP,7931,0.19177743661442578,0.5507100311133561
HIDROLANDIA,7892,0.19083438781503573,0.5526183749915065
TRES LAGOAS,7570,0.18304819003545622,0.554448856891861
SAO JOSE DOS PINHAIS,7546,0.18246785231275464,0.5562735354149885
PICOS,7515,0.18171824942093176,0.5580907179091978
GUAICARA,7504,0.18145226129802688,0.5599052405221782
SORRISO,7497,0.18128299612890558,0.5617180704834672
CEU AZUL,7479,0.1808477428368794,0.563526547911836
UBATUBA,7425,0.17954198296080084,0.5653219677414439
PARANAIBA,7402,0.17898582597654517,0.5671118260012094
BOM JESUS,7270,0.1757939685016865,0.5688697656862263
SAO JOSE DO RIO PRETO,7243,0.1751410885636472,0.5706211765718627
MONTES CLAROS,7229,0.17480255822540464,0.5723692021541168
LONDRINA,7225,0.17470583527162103,0.574116260506833
RIO VERDE DE MATO GROSSO,7208,0.17429476271804073,0.5758592081340134
GARANHUNS,7196,0.17400459385668995,0.5775992540725803
BALNEARIO CAMBORIU,7144,0.1727471954575032,0.5793267260271553
ARAGUARI,7114,0.1720217733041262,0.5810469437601965
SANTA MARIA DO PARA,7052,0.17052256752048048,0.5827521694354013
CATALAO,7046,0.17037748308980508,0.5844559442662993
ALAGOINHAS,7044,0.17032912161291328,0.5861592354824284
JUAZEIRO,7038,0.1701840371822379,0.5878610758542508
OURINHOS,7020,0.16974878389021172,0.589558563693153
MANHUACU,7006,0.16941025355196912,0.5912526662286727
REGISTRO,6982,0.16882991582926754,0.5929409653869654
EMBU,6942,0.16786268629143158,0.5946195922498797
IMPERATRIZ,6925,0.16745161373785128,0.5962941083872583
ELDORADO DO SUL,6914,0.1671856256149464,0.5979659646434078
NOSSA SENHORA DO SOCORRO,6860,0.16587986573886787,0.5996247633007965
EUNAPOLIS,6789,0.164163033309209,0.6012663936338886
RIO GRANDE,6760,0.16346179189427795,0.6029010115528314
BARRA DO GARCAS,6574,0.1589641745433407,0.6044906532982648
SABARA,6531,0.15792440279016703,0.6060698973261665
TEIXEIRA DE FREITAS,6510,0.15741660728280316,0.6076440633989945
ANCHIETA,6481,0.1567153658678721,0.6092112170576732
ITUIUTABA,6362,0.1538378579928101,0.6107495956376013
PARNAIBA,6290,0.15209684482470537,0.6122705640858483
CRISTALINA,6223,0.15047673534883013,0.6137753314393366
CAMPO VERDE,6218,0.15035583165660063,0.6152788897559026
BIGUACU,6212,0.15021074722592523,0.6167809972281618
ALEXANIA,6178,0.14938860211876467,0.6182748832493494
MONTENEGRO,6062,0.14658363645904038,0.6197407196139398
BETIM,6058,0.14648691350525678,0.6212055887489925
MANGARATIBA,6049,0.14626928685924367,0.6226682816175849
GUARAPUAVA,6015,0.14544714175208312,0.6241227530351058
ANGRA DOS REIS,6008,0.14527787658296182,0.6255755318009354
CANINDE,6005,0.14520533436762412,0.6270275851446117
SERRA TALHADA,5990,0.14484262329093564,0.628476011377521
MAFRA,5987,0.14477008107559794,0.6299237121882769
SANTAREM,5943,0.14370612858397838,0.6313607734741167
ALEGRETE,5929,0.14336759824573578,0.632794449456574
CARATINGA,5912,0.1429565256921555,0.6342240147134955
SANTA INES,5878,0.14213438058499492,0.6356453585193454
CAXIAS,5852,0.14150568138540154,0.6370604153331995
MURIAE,5834,0.14107042809337536,0.6384711196141332
URUGUAIANA,5756,0.13918433049459525,0.6398629629190791
PARACATU,5748,0.13899088458702805,0.6412528717649494
PIMENTA BUENO,5744,0.13889416163324447,0.6426418133812818
CUIABA,5680,0.1373465943727069,0.6440152793250089
QUATRO PONTES,5668,0.13705642551135613,0.6453858435801225
FORMOSA,5634,0.13623428040419555,0.6467481863841644
PARAISO DO TOCANTINS,5621,0.13591993080439888,0.6481073856922084
PALMEIRA DOS INDIOS,5605,0.13553303898926447,0.649462716082101
NOVA LIMA,5583,0.1350010627434547,0.6508127267095356
MONTE ALEGRE DE MINAS,5575,0.1348076168358875,0.6521608028778945
TIJUCAS DO SUL,5563,0.1345174479745367,0.6535059773576398
PORANGATU,5561,0.1344690864976449,0.6548506682226163
CANOAS,5543,0.13403383320561874,0.6561910065546724
ITAITUBA,5542,0.13400965246717284,0.6575311030793441
