City,Violations_Count,Violations_Count(%),Acum
BRASILIA,58995,0.028016412360559045,0.028016412360559045
SERRA,56605,0.026881414046435202,0.026881414046435202
SAO JOSE,48471,0.023018620620877322,0.023018620620877322
SINOP,36471,0.017319884315653004,0.017319884315653004
RONDONOPOLIS,30207,0.01434514396432591,0.01434514396432591
BELO HORIZONTE,28481,0.013525475725757814,0.013525475725757814
BARRA DO TURVO,27008,0.012825955844291529,0.012825955844291529
MIRACATU,26195,0.012439866459612581,0.012439866459612581
ITABORAI,25016,0.011879965617624291,0.011879965617624291
CAMPO GRANDE,24878,0.011814430150114212,0.011814430150114212
LINHARES,23860,0.01133098735355435,0.01133098735355435
PALHOCA,22942,0.010895034026204689,0.010895034026204689
VITORIA DA CONQUISTA,20477,0.009724418610173194,0.009724418610173194
GUARULHOS,18526,0.008797899065882141,0.008797899065882141
JACIARA,17821,0.008463098307950213,0.008463098307950213
UBERLANDIA,17656,0.008384740683753378,0.008384740683753378
FEIRA DE SANTANA,16637,0.007900822992501413,0.007900822992501413
SALVADOR,16429,0.0078020448965441915,0.0078020448965441915
NITEROI,16289,0.007735559639649908,0.007735559639649908
RIO NOVO DO SUL,15078,0.007160462167514353,0.007160462167514353
FORTALEZA,14376,0.006827086093658731,0.006827086093658731
CAXIAS DO SUL,13892,0.00659723706268135,0.00659723706268135
SAO MATEUS,12898,0.006125191738731936,0.006125191738731936
BIGUACU,12880,0.0061166436342741,0.0061166436342741
LUZIANIA,12622,0.005994120803711777,0.005994120803711777
SORRISO,12509,0.005940457703504248,0.005940457703504248
GOIANIA,12433,0.005904365706904494,0.005904365706904494
CASCAVEL,12408,0.005892493339601943,0.005892493339601943
PONTA GROSSA,12061,0.00572770488144254,0.00572770488144254
MONTE ALEGRE DE MINAS,11791,0.005599483314574993,0.005599483314574993
CONTAGEM,11772,0.005590460315425054,0.005590460315425054
CANDIDO SALES,11113,0.005277504713329819,0.005277504713329819
VARZEA GRANDE,11036,0.005240937822037963,0.005240937822037963
PORTO VELHO,10898,0.005175402354527884,0.005175402354527884
CAMPOS DOS GOITACAZES,10785,0.005121739254320355,0.005121739254320355
ITAJAI,10199,0.004843450964748567,0.004843450964748567
CARIACICA,9827,0.004666790139286613,0.004666790139286613
NOVA ALVORADA DO SUL,9803,0.004655392666676164,0.004655392666676164
ARACRUZ,9496,0.004509599996200843,0.004509599996200843
DOURADOS,8852,0.004203767814487137,0.004203767814487137
MUNDO NOVO,8765,0.004162451976274261,0.004162451976274261
FOZ DO IGUACU,8012,0.0038048562731214353,0.0038048562731214353
DUQUE DE CAXIAS,7998,0.003798207747432007,0.003798207747432007
MIMOSO DO SUL,7969,0.0037844358013610483,0.0037844358013610483
CAJATI,7930,0.003765914908369069,0.003765914908369069
ANCHIETA,7563,0.0035916285563676255,0.0035916285563676255
RIO VERDE DE MATO GROSSO,7514,0.0035683587164546263,0.0035683587164546263
JI PARANA,7493,0.003558385927920484,0.003558385927920484
NATAL,7416,0.0035218190366286275,0.0035218190366286275
UBERABA,7372,0.0035009236701761385,0.0035009236701761385
VILHENA,7154,0.003397396627297897,0.003397396627297897
NOVA MUTUM,7107,0.0033750765767691015,0.0033750765767691015
APARECIDA DE GOIANIA,7052,0.00334895736870349,0.00334895736870349
JOINVILLE,7047,0.00334658289524298,0.00334658289524298
TERESINA,6914,0.00328342190119341,0.00328342190119341
JEQUIE,6907,0.003280097638348696,0.003280097638348696
PRIMAVERA DO LESTE,6546,0.0031086606544998645,0.0031086606544998645
SAO GABRIEL DO OESTE,6503,0.0030882401827394775,0.0030882401827394775
CARUARU,6387,0.0030331523984556425,0.0030331523984556425
SIMOES FILHO,6381,0.0030303030303030303,0.0030303030303030303
SAO JOSE DOS PINHAIS,6379,0.0030293532409188264,0.0030293532409188264
CONCEICAO DA BARRA,6371,0.0030255540833820102,0.0030255540833820102
DIAMANTINO,6359,0.003019855347076786,0.003019855347076786
COXIM,6358,0.003019380452384684,0.003019380452384684
SAO GONCALO,6293,0.002988512297398052,0.002988512297398052
SOORETAMA,6279,0.0029818637717086236,0.0029818637717086236
CONSELHEIRO LAFAIETE,6273,0.0029790144035560114,0.0029790144035560114
SAO LOURENCO DA SERRA,6200,0.0029443470910325634,0.0029443470910325634
MAIRIPORA,6148,0.0029196525670432583,0.0029196525670432583
LONDRINA,6091,0.0028925835695934425,0.0028925835695934425
DOURADINA,5740,0.0027258955326656315,0.0027258955326656315
ARUJA,5686,0.002700251219292122,0.002700251219292122
RECIFE,5597,0.0026579855916950418,0.0026579855916950418
BALNEARIO CAMBORIU,5538,0.002629966804861022,0.002629966804861022
BENTO GONCALVES,5530,0.002626167647324206,0.002626167647324206
MANAUS,5493,0.0026085965437164307,0.0026085965437164307
MACAPA,5396,0.0025625317585825343,0.0025625317585825343
NOVA IGUACU,5297,0.0025155171840644335,0.0025155171840644335
CURITIBA,5117,0.002430036139486069,0.002430036139486069
MEDIANEIRA,5058,0.0024020173526520493,0.0024020173526520493
ARAGUAINA,5022,0.0023849211437363764,0.0023849211437363764
CASTANHAL,4933,0.002342655516139296,0.002342655516139296
BANDEIRANTES,4888,0.002321285254994705,0.002321285254994705
JOAO NEIVA,4873,0.0023141618346131745,0.0023141618346131745
PASSO FUNDO,4869,0.0023122622558447666,0.0023122622558447666
CACHOEIRA PAULISTA,4847,0.0023018145726185217,0.0023018145726185217
CAMPINA GRANDE,4818,0.002288042626547563,0.002288042626547563
ARAGUARI,4791,0.0022752204698608084,0.0022752204698608084
ATIBAIA,4788,0.0022737957857845025,0.0022737957857845025
VIANA,4743,0.002252425524639911,0.002252425524639911
LAGES,4733,0.0022476765777188906,0.0022476765777188906
PICOS,4699,0.0022315301581874217,0.0022315301581874217
RIO DE JANEIRO,4683,0.0022239318431137895,0.0022239318431137895
JOAO PESSOA,4658,0.0022120594758112387,0.0022120594758112387
MOSSORO,4630,0.002198762424432382,0.002198762424432382
SAO LUIS,4601,0.0021849904783614233,0.0021849904783614233
VACARIA,4578,0.002174067900443077,0.002174067900443077
RIO NEGRO,4514,0.002143674640148547,0.002143674640148547
TRES LAGOAS,4505,0.002139400587919629,0.002139400587919629
GLORINHA,4430,0.002103783486011977,0.002103783486011977
CHAPECO,4425,0.0021014090125514666,0.0021014090125514666
TIJUCAS DO SUL,4421,0.002099509433783059,0.002099509433783059
PETROPOLIS,4411,0.0020947604868620383,0.0020947604868620383
SAO PAULO,4376,0.0020781391726384674,0.0020781391726384674
SAO GONCALO DO AMARANTE,4357,0.002069116173488529,0.002069116173488529
