Month,Ticket_Value
1,71340702.06180573
2,83408451.0411148
3,86401705.8329773
4,86852823.27345276
5,75790542.29421997
6,67870700.42235565
7,64246813.547180176
8,68343061.10219574
9,72364688.26558685
10,79308380.55548859
11,59717982.38167572
12,79340420.27719116
