Time,Violations_Count,Violations_Count(%),Acum
10,223277,0.10603306216846414,0.10603306216846414
16,200086,0.2010528415323902,0.2010528415323902
11,178652,0.28589372806580143,0.28589372806580143
17,169271,0.36627962749260357,0.36627962749260357
15,168908,0.44649314014617264,0.44649314014617264
9,167921,0.526237931738637,0.526237931738637
14,116646,0.58163249799357,0.58163249799357
8,109375,0.6335741049422291,0.6335741049422291
18,98777,0.6804827779439909,0.6804827779439909
12,87244,0.72191449046174,0.72191449046174
13,83484,0.7615605989371856,0.7615605989371856
7,73059,0.7962559302474675,0.7962559302474675
19,61892,0.8256481125310462,0.8256481125310462
21,56932,0.8526848171417988,0.8526848171417988
22,54534,0.8785827242808907,0.8785827242808907
20,54276,0.9043581085894202,0.9043581085894202
6,42716,0.9246437102572503,0.9246437102572503
23,40373,0.9438166336614855,0.9438166336614855
0,28131,0.9571758962450077,0.9571758962450077
5,26211,0.9696233610196938,0.9696233610196938
4,19604,0.978933196563662,0.978933196563662
1,17823,0.9873972446609963,0.9873972446609963
3,13568,0.9938406158434366,0.9938406158434366
2,12970,0.9999999999999999,0.9999999999999999
