Date,Violations_Count,Month,Day,moving_avarage
2023-05-10,11975,5,10,13713.57142857143
2023-05-11,12193,5,11,13593.857142857143
2023-05-12,13696,5,12,13444.714285714286
2023-05-13,12638,5,13,13432.714285714286
2023-05-14,12558,5,14,12951.0
2023-05-15,13324,5,15,12732.57142857143
2023-05-16,11901,5,16,12612.142857142857
2023-05-17,11945,5,17,12607.857142857143
2023-05-18,12230,5,18,12613.142857142857
2023-05-19,15478,5,19,12867.714285714286
2023-05-20,13263,5,20,12957.0
2023-05-21,16358,5,21,13499.857142857143
2023-05-22,14346,5,22,13645.857142857143
2023-05-23,12859,5,23,13782.714285714286
2023-05-24,11854,5,24,13769.714285714286
2023-05-25,11422,5,25,13654.285714285714
2023-05-26,16014,5,26,13730.857142857143
2023-05-27,13743,5,27,13799.42857142857
2023-05-28,15277,5,28,13645.0
2023-05-29,12596,5,29,13395.0
2023-05-30,12147,5,30,13293.285714285714
2023-05-31,13678,5,31,13553.857142857143
