Month,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
1,745,2621,2084,1429,35165,6747,3704,5592,14539,5676,29338,21665,18112,5345,5474,9997,5911,21962,19504,5612,7021,771,26305,15183,3218,32108,3358
3,655,3711,1868,1550,37297,11099,14767,50584,17653,6372,46323,27786,44374,6686,6781,12329,7371,22718,32155,8056,9328,934,25960,42751,2878,33693,5536
5,1527,2726,2360,1556,17423,8544,14938,44695,16547,5194,39814,23037,39174,7111,6932,11034,6423,27706,23857,9772,7560,1006,20895,42205,2575,35132,3654
4,788,3296,2077,1880,25053,8993,15182,48511,18722,5890,48547,32344,41462,6717,7388,12315,8733,31939,28750,11508,8000,1044,28063,41769,3201,31597,4599
2,650,3542,1548,1416,29625,8299,10404,35771,17114,5985,43191,21844,33767,6969,8444,13021,7655,27090,24342,10316,7407,936,26997,34313,3464,25111,4343
