Infraction_State,Violations_Count,Total_ticket_value
SC,178040,38850902.4023819
RO,93105,20328607.025260925
PI,85095,23188763.97544861
AM,20102,4812790.681762695
RR,12033,3387469.271133423
GO,230375,50661528.051475525
TO,37861,8234440.327224731
MT,172734,35817557.54766846
SP,378074,78130854.99378967
ES,150991,28556599.891540527
PB,77884,19697984.494796753
RS,252059,53291263.61489105
MS,248186,45215779.31459808
AL,40597,10012247.701248169
MG,448672,92949395.99262238
PA,77960,19860206.449165344
BA,417092,76483852.00558472
SE,37545,9759531.909667969
PE,136373,36970108.675590515
CE,127407,27450445.53530121
RN,76745,19878389.14363098
RJ,418981,92716687.0568161
MA,73250,23778800.57247162
AC,15531,3815800.941192627
DF,73745,16553285.18244934
PR,237359,49206567.26673889
AP,17726,5376411.030792236
